LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
971252,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971253,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,3,NA,NA
971254,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2009,1,NA,NA
971255,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,7,NA,NA
971256,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,7,NA,NA
971257,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971258,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971259,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971260,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,3,NA,NA
971261,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,8,NA,NA
971262,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,8,NA,NA
971263,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,7,NA,NA
971264,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971265,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971266,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
971267,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,10,NA,NA
971268,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,9,NA,NA
971269,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,8,NA,NA
971270,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,7,NA,NA
971271,Caspian Tern,Hydroprogne caspia,Foraging,Aves,2,NA,Special Concern,2014,6,NA,NA
